from,to,weight
nanopore,nanoporous,0.15813953488372093
nanopore,anodizing,0.09767441860465116
boehmite,gibbsite,0.07849829351535836
carbon steel,carbon fibers,0.19745222929936307
calcium silicate,cementitious,0.051075268817204304
calcium silicate,slag (welding),0.04032258064516129
calcium silicate,aluminate,0.03763440860215054
chemisorption,langmuir adsorption model,0.10427807486631016
chemisorption,physisorption,0.040106951871657755
hydrotalcite,layered double hydroxides,0.08870967741935484
hydrotalcite,thermogravimetric analysis,0.04032258064516129
spark plasma sintering,vickers hardness test,0.052346570397111915
metastability,crystal (programming language),0.0390625
layered double hydroxides,hydrotalcite,0.10679611650485436
layered double hydroxides,coprecipitation,0.04854368932038835
residue (chemistry),red mud,0.050793650793650794
roasting,slag (welding),0.04189944134078212
roasting,iron ore,0.06424581005586592
crucible (geodemography),slag (welding),0.1
langmuir adsorption model,chemisorption,0.05084745762711865
langmuir adsorption model,endothermic process,0.08083441981747067
langmuir adsorption model,thermogravimetric analysis,0.041720990873533245
langmuir adsorption model,methylene blue,0.054758800521512385
thermal stability,thermogravimetric analysis,0.0986643688065489
gangue,iron ore,0.08011049723756906
gangue,beneficiation,0.052486187845303865
noble metal,bimetallic strip,0.0626865671641791
red mud,slag (welding),0.03782894736842105
bimetallic strip,carbon fibers,0.0389768574908648
nanomaterials,carbon fibers,0.039769082745349585
elongation,ductility (earth science),0.04513888888888889
elongation,thermal stability,0.03819444444444445
thermal shock,refractory (planetary science),0.038314176245210725
thermal shock,mullite,0.07279693486590039
abrasion (mechanical),particle (ecology),0.041371158392434985
specific surface area,bet theory,0.08559782608695653
specific surface area,carbon fibers,0.06929347826086957
hydrochloric acid,sodium hydroxide,0.046296296296296294
beneficiation,iron ore,0.06818181818181818
beneficiation,gangue,0.047979797979797977
suspension,particle (ecology),0.07871720116618076
suspension,zeta potential,0.04081632653061224
biocompatibility,titanium alloy,0.03804347826086957
biocompatibility,surface modification,0.059782608695652176
nanorod,nanomaterials,0.05642633228840126
anodizing,nanoporous,0.09785202863961814
anodizing,nanopore,0.050119331742243436
visible spectrum,degradation,0.058165548098434
refining (metallurgy),slag (welding),0.21770334928229665
cationic polymerization,methylene blue,0.03862660944206009
exothermic reaction,endothermic process,0.09580838323353294
scrap,slag (welding),0.1
powder diffraction,crystal (programming language),0.061452513966480445
powder diffraction,rietveld refinement,0.09217877094972067
powder diffraction,monoclinic crystal system,0.04189944134078212
halloysite,thermogravimetric analysis,0.04938271604938271
titanium dioxide,nanomaterials,0.04849884526558892
titanium dioxide,rutile,0.046189376443418015
mass fraction,volume fraction,0.08270676691729323
