from,to,weight
methane reformer,catalytic reforming,0.055408970976253295
methane reformer,carbon fibers,0.0633245382585752
methane reformer,carbon dioxide reforming,0.23218997361477572
methane reformer,membrane reactor,0.04221635883905013
methane reformer,partial oxidation,0.05804749340369393
methane reformer,water-gas shift reaction,0.0316622691292876
methane reformer,space velocity,0.0316622691292876
mechanical strength,biocompatibility,0.0375
coordination number,coordination complex,0.058823529411764705
coordination number,tetrahedron,0.0392156862745098
bovine serum albumin,biocompatibility,0.04316546762589928
bovine serum albumin,zeta potential,0.02877697841726619
bovine serum albumin,surface modification,0.04316546762589928
bovine serum albumin,surface charge,0.02877697841726619
absorption edge,visible spectrum,0.032679738562091505
absorption edge,x-ray absorption spectroscopy,0.05228758169934641
absorption edge,crystal (programming language),0.0392156862745098
absorption edge,xanes,0.0915032679738562
methanation,water-gas shift reaction,0.05251141552511415
methanation,carbon fibers,0.09360730593607305
methanation,bimetallic strip,0.02968036529680365
methanation,non-blocking i/o,0.0365296803652968
methanation,space velocity,0.0365296803652968
electrochemiluminescence,linear range,0.047244094488188976
electrochemiluminescence,aptamer,0.03543307086614173
electrochemiluminescence,graphitic carbon nitride,0.031496062992125984
silicon oxide,silicon dioxide,0.05154639175257732
silicon oxide,porous silicon,0.030927835051546393
silicon oxide,deposition,0.05154639175257732
silicon oxide,passivation,0.10309278350515463
open-circuit voltage,power density,0.0319634703196347
open-circuit voltage,passivation,0.0958904109589041
triethylamine,tetrahydrofuran,0.05319148936170213
zeta potential,surface charge,0.043235704323570434
zeta potential,particle (ecology),0.03765690376569038
zeta potential,suspension,0.040446304044630406
pellet,pelletizing,0.10569105691056911
pellet,iron ore,0.07046070460704607
pellet,bentonite,0.03523035230352303
tube furnace,bituminous coal,0.031746031746031744
tube furnace,thermogravimetric analysis,0.0582010582010582
tube furnace,carbon fibers,0.042328042328042326
nanodiamond,nanomaterials,0.06944444444444445
nanodiamond,particle (ecology),0.041666666666666664
nanodiamond,carbon fibers,0.1111111111111111
nanodiamond,surface modification,0.041666666666666664
nanodiamond,thermal stability,0.05555555555555555
nanodiamond,thermogravimetric analysis,0.041666666666666664
congo red,rhodamine b,0.0380952380952381
congo red,degradation,0.05714285714285714
congo red,rhodamine,0.0380952380952381
congo red,methylene blue,0.02857142857142857
congo red,langmuir adsorption model,0.08571428571428572
congo red,endothermic process,0.0380952380952381
congo red,thermogravimetric analysis,0.02857142857142857
congo red,characterization,0.02857142857142857
congo red,bentonite,0.0380952380952381
dip-coating,screen printing,0.02857142857142857
dip-coating,titanium dioxide,0.02857142857142857
dip-coating,superhydrophobic coating,0.04285714285714286
dip-coating,abrasion (mechanical),0.02857142857142857
dip-coating,permeance,0.02857142857142857
dip-coating,boehmite,0.02857142857142857
dip-coating,spin coating,0.02857142857142857
dip-coating,deposition,0.07142857142857142
thermal shock,refractory (planetary science),0.03636363636363636
thermal shock,mullite,0.08727272727272728
thermal shock,cordierite,0.04
deoxygenation,hydrodeoxygenation,0.17746478873239438
biocomposite,biomaterial,0.04878048780487805
biocomposite,thermal stability,0.04878048780487805
biocomposite,filler (materials),0.04065040650406504
biocomposite,biocompatibility,0.056910569105691054
biocomposite,simulated body fluid,0.032520325203252036
biocomposite,halloysite,0.032520325203252036
clinoptilolite,mordenite,0.060810810810810814
clinoptilolite,langmuir adsorption model,0.04054054054054054
clinoptilolite,thermogravimetric analysis,0.04054054054054054
horizontal scan rate,electrochemical gas sensor,0.03546099290780142
horizontal scan rate,stripping (fiber),0.04964539007092199
horizontal scan rate,differential pulse voltammetry,0.09929078014184398
horizontal scan rate,glassy carbon,0.0425531914893617
aluminide,isothermal process,0.04371584699453552
aluminide,high-temperature corrosion,0.03825136612021858
aluminide,cementation (geology),0.04918032786885246
aluminide,inconel,0.060109289617486336
buffer (optical fiber),deposition,0.02857142857142857
buffer (optical fiber),wide-bandgap semiconductor,0.02857142857142857
muscovite,illite,0.06177606177606178
simulated body fluid,surface modification,0.07051282051282051
simulated body fluid,bioactive glass,0.08974358974358974
simulated body fluid,biomaterial,0.038461538461538464
simulated body fluid,biocompatibility,0.11217948717948718
simulated body fluid,bioceramic,0.03205128205128205
simulated body fluid,energy-dispersive x-ray spectroscopy,0.028846153846153848
simulated body fluid,titanium alloy,0.035256410256410256
bifunctional catalyst,carbon fibers,0.045454545454545456
bifunctional catalyst,oxygen evolution,0.09090909090909091
bifunctional catalyst,dimethyl ether,0.07792207792207792
percolation (cognitive psychology),filler (materials),0.03669724770642202
percolation (cognitive psychology),dielectric loss,0.03669724770642202
percolation (cognitive psychology),particle (ecology),0.045871559633027525
percolation (cognitive psychology),volume fraction,0.06422018348623854
universal testing machine,shear strength,0.056
universal testing machine,abrasion (mechanical),0.050666666666666665
universal testing machine,distilled water,0.037333333333333336
universal testing machine,cementation (geology),0.04133333333333333
transition temperature,atmospheric temperature range,0.04929577464788732
transition temperature,hysteresis,0.035211267605633804
transition temperature,crystal (programming language),0.035211267605633804
transition temperature,tetragonal crystal system,0.056338028169014086
rhodamine,rhodamine 6g,0.06422018348623854
rhodamine,rhodamine b,0.24770642201834864
rhodamine,congo red,0.03669724770642202
brick,shrinkage,0.06217616580310881
brick,slag (welding),0.04404145077720207
brick,refractory (planetary science),0.05958549222797927
pozzolanic activity,pozzolanic reaction,0.19811320754716982
pozzolanic activity,cementitious,0.10377358490566038
pozzolanic activity,husk,0.04716981132075472
pozzolanic activity,metakaolin,0.0440251572327044
pozzolanic activity,portlandite,0.03459119496855346
pozzolanic activity,fineness,0.031446540880503145
pozzolanic activity,silica fume,0.0440251572327044
photodegradation,visible spectrum,0.10778443113772455
photodegradation,degradation,0.11377245508982035
photodegradation,graphitic carbon nitride,0.029940119760479042
photodegradation,methyl orange,0.038922155688622756
photodegradation,rhodamine b,0.038922155688622756
photodegradation,methylene blue,0.04790419161676647
photodegradation,titanium dioxide,0.03592814371257485
bet theory,specific surface area,0.22065727699530516
bet theory,carbon fibers,0.0539906103286385
bet theory,thermogravimetric analysis,0.04929577464788732
charge carrier,photocurrent,0.05026455026455026
charge carrier,carrier lifetime,0.03968253968253968
charge carrier,electron mobility,0.06613756613756613
charge carrier,visible spectrum,0.05291005291005291
charge carrier,passivation,0.037037037037037035
charge carrier,graphitic carbon nitride,0.031746031746031744
chemical decomposition,isothermal process,0.06382978723404255
chemical decomposition,methyl orange,0.0425531914893617
chemical decomposition,degradation,0.06382978723404255
specific surface area,carbon fibers,0.08440999138673558
specific surface area,bet theory,0.08096468561584841
nanoreactor,dispersity,0.056818181818181816
nanoreactor,noble metal,0.03409090909090909
nanoreactor,nanocapsules,0.03409090909090909
nanoreactor,carbon fibers,0.045454545454545456
nanoreactor,nanomaterial-based catalyst,0.056818181818181816
nanoreactor,nanomaterials,0.045454545454545456
polyvinylpyrrolidone,thermal stability,0.03184713375796178
polyvinylpyrrolidone,electrospinning,0.06369426751592357
polyvinylpyrrolidone,silver nanoparticle,0.03821656050955414
partial pressure,partial oxidation,0.038338658146964855
partial pressure,slag (welding),0.02875399361022364
partial pressure,stoichiometry,0.02875399361022364
phosphonate,surface modification,0.034482758620689655
ferrimagnetism,saturation (graph theory),0.033783783783783786
ferrimagnetism,magnetism,0.033783783783783786
ferrimagnetism,hysteresis,0.033783783783783786
organic semiconductor,charge carrier,0.03896103896103896
organic semiconductor,electron mobility,0.09090909090909091
alkyne,alkene,0.02962962962962963
alkyne,surface modification,0.02962962962962963
alkyne,reactivity,0.04691358024691358
toughening,brittleness,0.04477611940298507
toughening,tetragonal crystal system,0.029850746268656716
toughening,nanocrystalline material,0.029850746268656716
toughening,ductility (earth science),0.029850746268656716
toughening,layered double hydroxides,0.029850746268656716
toughening,spark plasma sintering,0.04477611940298507
toughening,monoclinic crystal system,0.029850746268656716
toughening,particle (ecology),0.029850746268656716
magnetism,orthorhombic crystal system,0.029166666666666667
magnetism,tetragonal crystal system,0.0375
chromite,slag (welding),0.04797047970479705
wüstite,slag (welding),0.11333333333333333
wüstite,iron ore,0.06
wüstite,carbon fibers,0.04
wüstite,liquidus,0.04
atomic units,deposition,0.125
atomic units,characterization,0.052083333333333336
atomic units,passivation,0.03125
atomic units,crystal (programming language),0.03125
atomic units,nanometre,0.052083333333333336
dilatometer,hot pressing,0.030303030303030304
dilatometer,atmospheric temperature range,0.045454545454545456
dilatometer,isothermal process,0.030303030303030304
dilatometer,shrinkage,0.07575757575757576
dilatometer,carbon fibers,0.030303030303030304
dilatometer,illite,0.030303030303030304
isothermal process,thermogravimetric analysis,0.048945147679324896
inert gas,inert,0.1799660441426146
inert gas,carbon fibers,0.06112054329371817
inert gas,thermogravimetric analysis,0.035653650254668934
malachite green,langmuir adsorption model,0.06172839506172839
malachite green,crystal violet,0.037037037037037035
malachite green,photodegradation,0.037037037037037035
malachite green,visible spectrum,0.037037037037037035
austenitic stainless steel,base metal,0.02976190476190476
thiol,self-assembled monolayer,0.030303030303030304
thiol,surface modification,0.03535353535353535
thiol,reactivity,0.03535353535353535
molar ratio,space velocity,0.03103448275862069
molar ratio,crucible (geodemography),0.03103448275862069
linear sweep voltammetry,chronoamperometry,0.05084745762711865
linear sweep voltammetry,electrochemical gas sensor,0.07627118644067797
linear sweep voltammetry,glassy carbon,0.0635593220338983
linear sweep voltammetry,differential pulse voltammetry,0.05508474576271186
linear sweep voltammetry,overpotential,0.029661016949152543
bioceramic,biocompatibility,0.10062893081761007
bioceramic,biomaterial,0.050314465408805034
bioceramic,simulated body fluid,0.06289308176100629
bioceramic,surface modification,0.03773584905660377
alkene,salt metathesis reaction,0.03048780487804878
alkene,alkane,0.036585365853658534
alkene,alkyne,0.036585365853658534
alkene,reactivity,0.036585365853658534
attenuated total reflection,thermogravimetric analysis,0.05511811023622047
attenuated total reflection,biofouling,0.031496062992125984
attenuated total reflection,surface modification,0.047244094488188976
attenuated total reflection,ultraviolet,0.031496062992125984
acicular,mullite,0.033783783783783786
alkaline earth metal,barium,0.039735099337748346
alkaline earth metal,stoichiometry,0.033112582781456956
strain (injury),lattice (music),0.02926829268292683
ductility (earth science),elongation,0.034
ductility (earth science),volume fraction,0.032
ductility (earth science),powder metallurgy,0.034
ductility (earth science),brittleness,0.048
titanium alloy,surface modification,0.04574132492113565
titanium alloy,biocompatibility,0.05362776025236593
vinyl acetate,chain transfer,0.0603448275862069
vinyl acetate,ethylene-vinyl acetate,0.1810344827586207
vinyl acetate,thermal stability,0.034482758620689655
vinyl acetate,thermogravimetric analysis,0.04310344827586207
