from,to,weight
powder diffraction,rietveld refinement,0.05747126436781609
powder diffraction,orthorhombic crystal system,0.06321839080459771
powder diffraction,monoclinic crystal system,0.07471264367816093
cationic polymerization,methylene blue,0.05426356589147287
overpotential,oxygen evolution,0.2445414847161572
overpotential,carbon fibers,0.05240174672489083
chemisorption,physisorption,0.05521472392638037
nanomaterial-based catalyst,bimetallic strip,0.05789473684210526
nanomaterial-based catalyst,carbon fibers,0.05789473684210526
chemical stability,chemical-looping combustion,0.06593406593406594
xanes,oxidation state,0.07096774193548387
xanes,x-ray absorption spectroscopy,0.10967741935483871
electrochemical gas sensor,amperometry,0.11475409836065574
photocathode,photocurrent,0.20597014925373133
photocathode,photoelectrochemistry,0.11044776119402985
photocathode,photoelectrochemical cell,0.10746268656716418
indium tin oxide,tin oxide,0.064
nanoporous,carbon fibers,0.06220095693779904
nanosheet,oxygen evolution,0.06293706293706294
graphitic carbon nitride,carbon fibers,0.17117117117117117
graphitic carbon nitride,visible spectrum,0.07207207207207207
nanorod,visible spectrum,0.051515151515151514
rutile,visible spectrum,0.07352941176470588
orthorhombic crystal system,tetragonal crystal system,0.15267175572519084
4-nitrophenol,selective catalytic reduction,0.15151515151515152
photoelectrochemical cell,photoelectrochemistry,0.22274881516587677
photoelectrochemical cell,photocathode,0.17061611374407584
photoelectrochemical cell,photocurrent,0.13270142180094788
inert,inert gas,0.18421052631578946
inert,chemical-looping combustion,0.05263157894736842
laser ablation,particle (ecology),0.05813953488372093
laser ablation,pulsed laser deposition,0.06976744186046512
noble metal,bimetallic strip,0.06440677966101695
wurtzite crystal structure,nanorod,0.0673076923076923
ultraviolet,visible spectrum,0.08737864077669903
ultraviolet,nanorod,0.05825242718446602
oxygen evolution,overpotential,0.19047619047619047
catalytic combustion,specific surface area,0.05263157894736842
catalytic combustion,carbon fibers,0.07017543859649122
diffractometer,monoclinic crystal system,0.08064516129032258
chemical-looping combustion,reactivity,0.08588957055214724
chemical-looping combustion,carbon fibers,0.06748466257668712
chemical-looping combustion,thermogravimetric analysis,0.05828220858895705
charge carrier,visible spectrum,0.06382978723404255
charge carrier,photocurrent,0.0851063829787234
chronoamperometry,linear sweep voltammetry,0.07216494845360824
chronoamperometry,electrochemical gas sensor,0.061855670103092786
chronoamperometry,amperometry,0.05154639175257732
visible spectrum,degradation,0.0921544209215442
visible spectrum,methylene blue,0.05977584059775841
visible spectrum,methyl orange,0.052303860523038606
visible spectrum,photodegradation,0.062266500622665005
rietveld refinement,powder diffraction,0.0847457627118644
rietveld refinement,tetragonal crystal system,0.06779661016949153
tandem,photoelectrochemical cell,0.061946902654867256
tandem,photocathode,0.061946902654867256
langmuir adsorption model,methylene blue,0.05333333333333334
photocurrent,photoelectrochemistry,0.06801470588235294
photocurrent,photoelectrochemical cell,0.051470588235294115
photocurrent,photocathode,0.12683823529411764
water-gas shift reaction,temperature-programmed reduction,0.06976744186046512
template,nanomaterials,0.06837606837606838
titanium oxide,titanium dioxide,0.1590909090909091
galvanic cell,bimetallic strip,0.07272727272727272
linear sweep voltammetry,chronoamperometry,0.07526881720430108
linear sweep voltammetry,photoelectrochemistry,0.06451612903225806
linear sweep voltammetry,electrochemical gas sensor,0.08602150537634409
linear sweep voltammetry,photocurrent,0.07526881720430108
specific surface area,bet theory,0.06761565836298933
specific surface area,carbon fibers,0.05338078291814947
photodegradation,visible spectrum,0.15527950310559005
photodegradation,degradation,0.07453416149068323
photodegradation,rhodamine b,0.052795031055900624
photodegradation,methylene blue,0.08385093167701864
photodegradation,methyl orange,0.07763975155279502
biocompatibility,surface modification,0.054878048780487805
biocompatibility,nanomaterials,0.10365853658536585
x-ray absorption spectroscopy,oxidation state,0.0625
x-ray absorption spectroscopy,xanes,0.11805555555555555
rhodamine b,degradation,0.11607142857142858
rhodamine b,methylene blue,0.05803571428571429
rhodamine b,visible spectrum,0.11607142857142858
rhodamine b,methyl orange,0.0625
rhodamine b,photodegradation,0.07589285714285714
electrospinning,nanomaterials,0.07425742574257425
selective catalytic reduction,atmospheric temperature range,0.05204460966542751
