from,to,weight
electrospinning,nanomaterials,0.1111111111111111
emission intensity,wide-bandgap semiconductor,0.11940298507462686
emission intensity,intensity,0.06716417910447761
indium phosphide,gallium phosphide,0.10869565217391304
nanopore,nanoporous,0.2222222222222222
nanopore,deposition,0.06666666666666667
nanopore,nanorod,0.08888888888888889
diffractometer,ultraviolet,0.06666666666666667
diffractometer,characterization,0.06666666666666667
diffractometer,crystal (programming language),0.06666666666666667
diffractometer,wurtzite crystal structure,0.06666666666666667
high voltage,wide-bandgap semiconductor,0.1326530612244898
high voltage,power electronics,0.07142857142857142
cathodoluminescence,wide-bandgap semiconductor,0.1454248366013072
electron holography,wide-bandgap semiconductor,0.1891891891891892
electron holography,characterization,0.08108108108108109
electron holography,wurtzite crystal structure,0.08108108108108109
rutile,titanium dioxide,0.11320754716981132
rutile,nanorod,0.09433962264150944
oscillation (cell signaling),cutoff frequency,0.100418410041841
oscillation (cell signaling),transconductance,0.12133891213389121
rectangular potential barrier,wide-bandgap semiconductor,0.0958904109589041
rectangular potential barrier,thermionic emission,0.0958904109589041
rectangular potential barrier,quantum efficiency,0.0684931506849315
rectangular potential barrier,barrier layer,0.1780821917808219
current crowding,wide-bandgap semiconductor,0.1111111111111111
current crowding,quantum efficiency,0.1111111111111111
current crowding,blocking (statistics),0.08333333333333333
aspect ratio (aeronautics),nanorod,0.13636363636363635
high-κ dielectric,leakage (economics),0.125
high-κ dielectric,passivation,0.10714285714285714
reverse bias,reverse leakage current,0.14084507042253522
reverse bias,leakage (economics),0.1267605633802817
reverse bias,biasing,0.14084507042253522
pyramid (geometry),crystal (programming language),0.08333333333333333
pyramid (geometry),cathodoluminescence,0.08333333333333333
nanoimprint lithography,nanorod,0.12359550561797752
nanoimprint lithography,dry etching,0.11235955056179775
continuous wave,slope efficiency,0.09278350515463918
continuous wave,blue laser,0.10309278350515463
continuous wave,laser diode,0.1134020618556701
poisson's equation,charge density,0.078125
poisson's equation,wide-bandgap semiconductor,0.21875
poisson's equation,barrier layer,0.078125
resistive touchscreen,ohmic contact,0.06557377049180328
resistive touchscreen,wide-bandgap semiconductor,0.08196721311475409
open-circuit voltage,wide-bandgap semiconductor,0.08791208791208792
open-circuit voltage,quantum efficiency,0.16483516483516483
monoclinic crystal system,nanorod,0.07272727272727272
porous silicon,surface modification,0.06976744186046512
hamiltonian (control theory),wurtzite crystal structure,0.14018691588785046
stacking fault,crystal (programming language),0.08064516129032258
stacking fault,wide-bandgap semiconductor,0.16129032258064516
stacking fault,cathodoluminescence,0.12903225806451613
lattice (music),lattice constant,0.1359026369168357
stress relaxation,lattice (music),0.06504065040650407
stress relaxation,strain (injury),0.17073170731707318
stress relaxation,wide-bandgap semiconductor,0.12195121951219512
stress relaxation,cathodoluminescence,0.06504065040650407
phonon scattering,wide-bandgap semiconductor,0.12121212121212122
phonon scattering,electron mobility,0.2
chemical mechanical planarization,isotropic etching,0.12037037037037036
chemical mechanical planarization,crystal (programming language),0.09259259259259259
time constant,wide-bandgap semiconductor,0.08333333333333333
charge density,wide-bandgap semiconductor,0.13829787234042554
photoelectrochemical cell,wide-bandgap semiconductor,0.06666666666666667
photoelectrochemical cell,photoelectrochemistry,0.22666666666666666
photoelectrochemical cell,photocurrent,0.2
nanosheet,ultraviolet,0.08
nanosheet,nanorod,0.08
nanosheet,template,0.08
atom probe,wide-bandgap semiconductor,0.10204081632653061
atom probe,characterization,0.12244897959183673
incandescent light bulb,solid-state lighting,0.11764705882352941
incandescent light bulb,led lamp,0.20588235294117646
sublimation,electron mobility,0.075
charge carrier,wide-bandgap semiconductor,0.08940397350993377
charge carrier,electron mobility,0.0695364238410596
facet (psychology),wide-bandgap semiconductor,0.08695652173913043
facet (psychology),crystal (programming language),0.06521739130434782
trimethylindium,indium nitride,0.08823529411764706
nanorod,wide-bandgap semiconductor,0.08898305084745763
tunnel junction,wide-bandgap semiconductor,0.16666666666666666
tunnel junction,quantum efficiency,0.06666666666666667
light emission,wide-bandgap semiconductor,0.16666666666666666
orthorhombic crystal system,wurtzite crystal structure,0.0759493670886076
ultraviolet light,ultraviolet,0.3956043956043956
ultraviolet light,wide-bandgap semiconductor,0.06593406593406594
texture (cosmology),crystal (programming language),0.06557377049180328
light intensity,intensity,0.0975609756097561
threading (protein sequence),leakage (economics),0.11627906976744186
threading (protein sequence),wide-bandgap semiconductor,0.13953488372093023
indium gallium nitride,quantum efficiency,0.15847860538827258
indium gallium nitride,wide-bandgap semiconductor,0.20443740095087162
quantum yield,quantum efficiency,0.08536585365853659
shallow donor,wide-bandgap semiconductor,0.1
