from,to,weight
electrospinning,thermoplastic polyurethane,0.2619047619047619
prepolymer,isocyanate,0.21428571428571427
thermal stability,thermogravimetric analysis,0.18848167539267016
miscibility,thermoplastic polyurethane,0.2391304347826087
wollastonite,thermal stability,0.25
rheometry,thermoplastic polyurethane,0.1875
rheometry,thermogravimetric analysis,0.1875
exfoliation joint,thermoplastic polyurethane,0.20689655172413793
brittleness,thermoplastic polyurethane,0.23076923076923078
polyoxymethylene,thermal stability,0.19230769230769232
in situ polymerization,thermoplastic polyurethane,0.25
strain (injury),thermoplastic polyurethane,0.1875
poly(n-isopropylacrylamide),thermoplastic polyurethane,0.2727272727272727
shore durometer,thermoplastic polyurethane,0.23076923076923078
shore durometer,thermoplastic elastomer,0.23076923076923078
compounding,thermoplastic polyurethane,0.24242424242424243
organoclay,thermoplastic polyurethane,0.2413793103448276
organoclay,thermogravimetric analysis,0.20689655172413793
limiting oxygen index,thermogravimetric analysis,0.18518518518518517
morphology,thermoplastic polyurethane,0.20588235294117646
thermogravimetric analysis,thermal stability,0.1945945945945946
thermoplastic elastomer,thermoplastic polyurethane,0.3008130081300813
spherulite (polymer physics),polypropylene,0.25
spherulite (polymer physics),thermoplastic polyurethane,0.25
talc,thermoplastic polyurethane,0.22727272727272727
polylactic acid,thermoplastic polyurethane,0.2608695652173913
filler (materials),thermoplastic polyurethane,0.19607843137254902
natural fiber,kenaf,0.23076923076923078
surface modification,thermoplastic polyurethane,0.21875
plasticizer,thermoplastic polyurethane,0.21428571428571427
kenaf,thermoplastic polyurethane,0.19230769230769232
