from,to,weight
natta,polypropylene,0.3333333333333333
natta,exfoliation joint,0.3333333333333333
natta,in situ polymerization,0.3333333333333333
dissipation factor,dielectric loss,0.5
layered double hydroxides,exfoliation joint,0.25
layered double hydroxides,stearate,0.25
layered double hydroxides,thermal stability,0.25
spherulite (polymer physics),polypropylene,0.3333333333333333
wollastonite,thermal stability,0.2857142857142857
ultra-high-molecular-weight polyethylene,melt flow index,0.3333333333333333
ultra-high-molecular-weight polyethylene,polypropylene,0.3333333333333333
ultra-high-molecular-weight polyethylene,linear low-density polyethylene,0.3333333333333333
bioplastic,biocompatibility,0.5
bioplastic,thermal stability,0.5
organoclay,thermogravimetric analysis,0.2727272727272727
replication,shrinkage,0.25
replication,molding (decorative),0.25
replication,injection moulding,0.25
replication,polypropylene,0.25
octene,polyoxymethylene,0.25
natural fiber,kenaf,0.25
organosilicon,prepolymer,0.25
organosilicon,thermal stability,0.25
organosilicon,thermogravimetric analysis,0.25
organosilicon,polydimethylsiloxane,0.25
charpy impact test,thermoplastic elastomer,0.3333333333333333
charpy impact test,compatibilization,0.3333333333333333
charpy impact test,maleic anhydride,0.3333333333333333
polybutylene succinate,thermogravimetric analysis,0.5
polybutylene succinate,thermoplastic elastomer,0.5
melt spinning,thermal stability,0.3333333333333333
melt spinning,maleic anhydride,0.3333333333333333
melt spinning,elongation,0.3333333333333333
water resistance,thermal stability,0.25
water resistance,isocyanate,0.25
tribometer,compression molding,0.25
tribometer,filler (materials),0.25
tribometer,molding (decorative),0.25
thermomechanical analysis,miscibility,0.25
thermomechanical analysis,aramid,0.25
thermomechanical analysis,thermal stability,0.25
adipate,elongation,0.3333333333333333
sodium dodecyl sulfate,thermal stability,0.5
sodium dodecyl sulfate,compatibilization,0.5
zinc stearate,exfoliation joint,0.25
zinc stearate,stearate,0.25
zinc stearate,thermal stability,0.25
tensile strain,strain (injury),0.3333333333333333
tensile strain,carbon fibers,0.3333333333333333
tensile strain,polypropylene,0.3333333333333333
zinc borate,thermogravimetric analysis,0.5
zinc borate,thermoplastic elastomer,0.5
temperature coefficient,thermoplastic elastomer,0.5
temperature coefficient,polypropylene,0.5
tetrahydrofuran,miscibility,0.5
tetrahydrofuran,thermoplastic elastomer,0.5
graphene foam,exfoliation joint,0.25
graphene foam,polymer nanocomposite,0.25
graphene foam,filler (materials),0.25
graphene foam,compounding,0.25
fire performance,filler (materials),0.25
fire performance,natural fiber,0.25
fire performance,kenaf,0.25
fire performance,thermogravimetric analysis,0.25
nitrile rubber,thermoplastic elastomer,0.2857142857142857
compression set,shore durometer,0.25
compression set,thermoplastic elastomer,0.25
compression set,cone calorimeter,0.25
compression set,tear resistance,0.25
acrylonitrile butadiene styrene,morphology,0.3333333333333333
acrylonitrile butadiene styrene,thermogravimetric analysis,0.3333333333333333
acrylonitrile butadiene styrene,polyoxymethylene,0.3333333333333333
ethylene propylene rubber,epdm rubber,0.2857142857142857
polyurea,thermal stability,0.3333333333333333
shore durometer,thermoplastic elastomer,0.3
vinyl acetate,ethylene-vinyl acetate,0.25
dielectric loss,dissipation factor,0.2727272727272727
stearate,thermal stability,0.25
stearate,layered double hydroxides,0.25
stearate,zinc stearate,0.25
stearate,exfoliation joint,0.25
