from,to,weight
microfiber,electrospinning,0.2
smart material,shape-memory polymer,0.16901408450704225
piezoresistive effect,gauge factor,0.10576923076923077
biocompatible material,biocompatibility,0.16
biocompatibility,electrospinning,0.15853658536585366
talc,polypropylene,0.15625
thermal stability,thermogravimetric analysis,0.17623762376237623
ethylene-vinyl acetate,vinyl acetate,0.23809523809523808
fused deposition modeling,polylactic acid,0.10465116279069768
nanocellulose,thermal stability,0.1111111111111111
pentaerythritol,thermal stability,0.13157894736842105
pentaerythritol,intumescent,0.13157894736842105
thermogravimetric analysis,thermal stability,0.2202970297029703
limiting oxygen index,thermogravimetric analysis,0.19852941176470587
limiting oxygen index,cone calorimeter,0.16176470588235295
limiting oxygen index,thermal stability,0.1323529411764706
limiting oxygen index,intumescent,0.09558823529411764
rheometry,thermogravimetric analysis,0.13157894736842105
gauge factor,piezoresistive effect,0.14285714285714285
gauge factor,strain gauge,0.22077922077922077
gauge factor,strain (injury),0.11688311688311688
melt flow index,thermal stability,0.12
strain (injury),gauge factor,0.11392405063291139
ammonium polyphosphate,thermogravimetric analysis,0.16842105263157894
ammonium polyphosphate,cone calorimeter,0.16842105263157894
ammonium polyphosphate,limiting oxygen index,0.11578947368421053
ammonium polyphosphate,thermal stability,0.11578947368421053
ammonium polyphosphate,intumescent,0.12631578947368421
compression molding,molding (decorative),0.15315315315315314
nanomaterials,polymer nanocomposite,0.11235955056179775
tacticity,thermal stability,0.1
tacticity,polypropylene,0.2
in situ polymerization,thermal stability,0.1
organoclay,thermogravimetric analysis,0.21153846153846154
organoclay,thermal stability,0.21153846153846154
vinyl acetate,thermogravimetric analysis,0.09803921568627451
vinyl acetate,ethylene-vinyl acetate,0.29411764705882354
vinyl acetate,thermal stability,0.09803921568627451
strain gauge,gauge factor,0.2698412698412698
polybutylene succinate,adipate,0.09523809523809523
polybutylene succinate,molding (decorative),0.09523809523809523
polybutylene succinate,miscibility,0.14285714285714285
degradation,thermal stability,0.11627906976744186
molding (decorative),compression molding,0.11888111888111888
glycidyl methacrylate,miscibility,0.1
glycidyl methacrylate,maleic anhydride,0.1
glycidyl methacrylate,thermoplastic elastomer,0.1
shape-memory polymer,smart material,0.11320754716981132
compression set,thermoplastic elastomer,0.1
compression set,morphology,0.1
compression set,thermal stability,0.1
blowing agent,molding (decorative),0.1
intumescent,limiting oxygen index,0.13402061855670103
intumescent,ammonium polyphosphate,0.12371134020618557
intumescent,thermogravimetric analysis,0.14432989690721648
intumescent,cone calorimeter,0.13402061855670103
intumescent,thermal stability,0.1134020618556701
silsesquioxane,thermal stability,0.14705882352941177
deposition,fused deposition modeling,0.17391304347826086
polyoxymethylene,thermogravimetric analysis,0.09615384615384616
polyoxymethylene,thermal stability,0.15384615384615385
halloysite,thermogravimetric analysis,0.10526315789473684
halloysite,compounding,0.10526315789473684
cone calorimeter,limiting oxygen index,0.1476510067114094
cone calorimeter,thermogravimetric analysis,0.18791946308724833
cone calorimeter,thermal stability,0.12751677852348994
cone calorimeter,ammonium polyphosphate,0.10738255033557047
caprolactone,polycaprolactone,0.1111111111111111
prepolymer,isocyanate,0.15789473684210525
thermogravimetry,thermal stability,0.1568627450980392
fused filament fabrication,fused deposition modeling,0.13157894736842105
fused filament fabrication,polylactic acid,0.10526315789473684
polymer nanocomposite,nanomaterials,0.09900990099009901
maleic anhydride,thermal stability,0.10344827586206896
maleic anhydride,polypropylene,0.14942528735632185
exfoliation joint,thermal stability,0.1568627450980392
acrylonitrile butadiene styrene,polylactic acid,0.13333333333333333
acrylonitrile butadiene styrene,fused deposition modeling,0.1111111111111111
compatibilization,maleic anhydride,0.10144927536231885
compatibilization,thermal stability,0.10144927536231885
