from,to,weight
inert gas,inert,0.2631578947368421
cobalt oxide,lithium cobalt oxide,0.3333333333333333
oxygen evolution,carbon fibers,0.23076923076923078
organic radical battery,overpotential,0.2631578947368421
lithium iron phosphate,iron phosphate,0.2903225806451613
thiophosphate,carbon fibers,0.3333333333333333
thiophosphate,fast ion conductor,0.3333333333333333
thiophosphate,cycling,0.3333333333333333
polymer electrolytes,fast ion conductor,0.36363636363636365
polymer electrolytes,lithium metal,0.18181818181818182
inert,inert gas,0.23809523809523808
selective leaching,iron phosphate,0.1875
electrochemical window,fast ion conductor,0.23529411764705882
carbon footprint,carbon fibers,0.2777777777777778
tungsten carbide,lithium metal,0.3333333333333333
tungsten carbide,lithium hydroxide,0.3333333333333333
tungsten carbide,carbon fibers,0.3333333333333333
lithium titanate,carbon fibers,0.2222222222222222
heteroatom,carbon fibers,0.2857142857142857
overpotential,carbon fibers,0.19047619047619047
propylene carbonate,dimethyl carbonate,0.26666666666666666
polyvinylidene fluoride,fast ion conductor,0.2222222222222222
capacity loss,degradation,0.2
carbon neutrality,carbon fibers,0.2857142857142857
hydrometallurgy,pyrometallurgy,0.18181818181818182
cycling,carbon fibers,0.18181818181818182
environmental pollution,environmentally friendly,0.2222222222222222
dimethyl carbonate,propylene carbonate,0.2
chemical stability,fast ion conductor,0.3125
vaporization,carbon fibers,0.3333333333333333
scrap,pyrometallurgy,0.1875
lithium cobalt oxide,cobalt oxide,0.35
iron phosphate,lithium iron phosphate,0.3333333333333333
boric acid,brine,0.18181818181818182
boric acid,surface modification,0.18181818181818182
base (topology),surface modification,0.2727272727272727
