from,to,weight
indium gallium nitride,quantum efficiency,0.15847860538827258
indium gallium nitride,wide-bandgap semiconductor,0.20443740095087162
leakage (economics),wide-bandgap semiconductor,0.1372854914196568
light emission,wide-bandgap semiconductor,0.16666666666666666
ohmic contact,contact resistance,0.18397997496871088
ohmic contact,wide-bandgap semiconductor,0.11514392991239049
lattice constant,lattice (music),0.17539267015706805
indium nitride,indium gallium nitride,0.13191489361702127
indium nitride,wide-bandgap semiconductor,0.14893617021276595
indium nitride,wurtzite crystal structure,0.14468085106382977
quantum efficiency,wide-bandgap semiconductor,0.17447916666666666
contact resistance,ohmic contact,0.3466981132075472
auger effect,wide-bandgap semiconductor,0.11637931034482758
auger effect,quantum efficiency,0.21551724137931033
strain (injury),wide-bandgap semiconductor,0.11607142857142858
acceptor,wide-bandgap semiconductor,0.11173184357541899
band bending,wide-bandgap semiconductor,0.17560975609756097
barrier layer,wide-bandgap semiconductor,0.18333333333333332
quantum-confined stark effect,quantum efficiency,0.11377245508982035
quantum-confined stark effect,wide-bandgap semiconductor,0.17664670658682635
photoconductivity,ultraviolet,0.10864745011086474
photoconductivity,photocurrent,0.19290465631929046
degradation,wide-bandgap semiconductor,0.13836477987421383
passivation,wide-bandgap semiconductor,0.10843373493975904
ultraviolet,wide-bandgap semiconductor,0.11426592797783934
lattice (music),lattice constant,0.1359026369168357
blueshift,wide-bandgap semiconductor,0.1310344827586207
cathodoluminescence,wide-bandgap semiconductor,0.1454248366013072
photodiode,ultraviolet,0.14878892733564014
buffer (optical fiber),wide-bandgap semiconductor,0.13488372093023257
pulsed laser deposition,deposition,0.20982142857142858
carrier lifetime,wide-bandgap semiconductor,0.11612903225806452
photocurrent,photoconductivity,0.13509316770186336
electron mobility,wide-bandgap semiconductor,0.2108843537414966
