from,to,weight
ultramafic rock,peridotite,0.0779436152570481
pellet,carbon fibers,0.05555555555555555
pellet,iron ore,0.06944444444444445
cordierite,mullite,0.058823529411764705
cordierite,talc,0.0657439446366782
lattice constant,lattice (music),0.17233009708737865
metasomatism,peridotite,0.08793969849246232
coprecipitation,layered double hydroxides,0.09289617486338798
coprecipitation,hydrotalcite,0.06557377049180328
pulsed laser deposition,deposition,0.1762652705061082
wüstite,slag (welding),0.10596026490066225
wüstite,liquidus,0.059602649006622516
wollastonite,glass-ceramic,0.07531380753138076
layered double hydroxides,thermogravimetric analysis,0.07964601769911504
layered double hydroxides,thermal stability,0.07079646017699115
layered double hydroxides,coprecipitation,0.0752212389380531
layered double hydroxides,hydrotalcite,0.0752212389380531
corundum,mullite,0.11464968152866242
shrinkage,slag (welding),0.06818181818181818
powder diffraction,rietveld refinement,0.0975609756097561
thermogravimetric analysis,thermal stability,0.08585858585858586
ladle,refining (metallurgy),0.12121212121212122
ladle,slag (welding),0.26262626262626265
talc,cordierite,0.08296943231441048
orthorhombic crystal system,tetragonal crystal system,0.08759124087591241
orthorhombic crystal system,monoclinic crystal system,0.06204379562043796
titanium dioxide,rutile,0.0915032679738562
crucible (geodemography),slag (welding),0.0942622950819672
refractory (planetary science),slag (welding),0.0784313725490196
refractory (planetary science),thermal shock,0.056022408963585436
differential thermal analysis,thermogravimetric analysis,0.07242990654205607
differential thermal analysis,thermogravimetry,0.05841121495327103
gehlenite,slag (welding),0.07586206896551724
gehlenite,differential thermal analysis,0.06206896551724138
gehlenite,wollastonite,0.0896551724137931
gehlenite,anorthite,0.09655172413793103
mass fraction,slag (welding),0.0851063829787234
liquidus,slag (welding),0.14184397163120568
gravimetric analysis,differential thermal analysis,0.061068702290076333
gravimetric analysis,thermogravimetric analysis,0.11450381679389313
petrogenesis,fractional crystallization (geology),0.09505208333333333
refining (metallurgy),slag (welding),0.3031161473087819
refining (metallurgy),ladle,0.10198300283286119
mullite,cordierite,0.05555555555555555
mullite,corundum,0.058823529411764705
phenocryst,fractional crystallization (geology),0.058
deposition,pulsed laser deposition,0.10871905274488698
reducing atmosphere,carbon fibers,0.0707070707070707
melt inclusions,phenocryst,0.06451612903225806
aluminate,slag (welding),0.07851239669421488
glass-ceramic,differential thermal analysis,0.0706713780918728
glass-ceramic,wollastonite,0.0636042402826855
monoclinic crystal system,tetragonal crystal system,0.1566265060240964
silica fume,slag (welding),0.05726872246696035
silica fume,cementitious,0.07048458149779736
chemisorption,physisorption,0.06535947712418301
brick,slag (welding),0.08835341365461848
inert gas,inert,0.21176470588235294
texture (cosmology),deposition,0.08
bet theory,specific surface area,0.19745222929936307
bet theory,thermogravimetric analysis,0.06369426751592357
ilmenite,rutile,0.061046511627906974
tetragonal crystal system,monoclinic crystal system,0.10833333333333334
physisorption,chemisorption,0.08403361344537816
forsterite,enstatite,0.06685236768802229
specific surface area,carbon fibers,0.1023391812865497
specific surface area,bet theory,0.09064327485380116
lattice (music),lattice constant,0.16136363636363638
bimetallic strip,carbon fibers,0.07537688442211055
oxidizing agent,slag (welding),0.09178743961352658
agglomerate,carbon fibers,0.0736196319018405
agglomerate,particle (ecology),0.06134969325153374
chromite,ultramafic rock,0.06043956043956044
inert,inert gas,0.15384615384615385
carbothermic reaction,carbon fibers,0.17272727272727273
carbothermic reaction,ilmenite,0.06363636363636363
cementitious,silica fume,0.05925925925925926
cementitious,slag (welding),0.10740740740740741
enstatite,forsterite,0.13333333333333333
enstatite,pyroxene,0.06666666666666667
enstatite,diopside,0.05555555555555555
fractional crystallization (geology),petrogenesis,0.0922882427307206
rietveld refinement,powder diffraction,0.13559322033898305
rietveld refinement,tetragonal crystal system,0.06779661016949153
rietveld refinement,monoclinic crystal system,0.05508474576271186
thermal stability,thermogravimetric analysis,0.1045510455104551
hydrotalcite,layered double hydroxides,0.06666666666666667
wurtzite crystal structure,lattice constant,0.05725190839694656
anorthite,diopside,0.05813953488372093
brucite,layered double hydroxides,0.057971014492753624
brucite,magnesite,0.057971014492753624
calcium silicate,slag (welding),0.0989010989010989
nanomaterials,carbon fibers,0.057926829268292686
solidus,liquidus,0.09090909090909091
solidus,peridotite,0.08391608391608392
thermal shock,refractory (planetary science),0.09950248756218906
hysteresis,tunnel magnetoresistance,0.0547945205479452
slab,slag (welding),0.06217616580310881
phlogopite,metasomatism,0.06756756756756757
phlogopite,amphibole,0.06306306306306306
partial pressure,slag (welding),0.09777777777777778
peridotite,metasomatism,0.05564387917329094
peridotite,ultramafic rock,0.07472178060413355
rutile,ilmenite,0.07692307692307693
thermogravimetry,differential thermal analysis,0.09398496240601503
