from,to,weight
solid-phase microextraction,sample preparation,0.11917098445595854
nanosecond,picosecond,0.11585365853658537
picosecond,nanosecond,0.1111111111111111
ultraviolet light,ultraviolet,0.34285714285714286
pulsed laser deposition,deposition,0.2808988764044944
cladding (metalworking),waveguide,0.09433962264150944
inert gas,inert,0.15789473684210525
inert gas,oxidizing agent,0.10526315789473684
harmonic,signal (programming language),0.1
laser-induced breakdown spectroscopy,laser ablation,0.1
sample preparation,sample (material),0.08949416342412451
sample preparation,solid-phase microextraction,0.08949416342412451
visible spectrum,ultraviolet,0.09523809523809523
numerical aperture,aperture (computer memory),0.15625
attosecond,extreme ultraviolet,0.184
silver nanoparticle,surface modification,0.08928571428571429
photodegradation,visible spectrum,0.09259259259259259
photodegradation,degradation,0.1388888888888889
aperture (computer memory),numerical aperture,0.11363636363636363
charge carrier,photocurrent,0.09821428571428571
supercontinuum,filamentation,0.11811023622047244
filamentation,supercontinuum,0.2054794520547945
sample (material),sample preparation,0.18253968253968253
inert,inert gas,0.16666666666666666
photocurrent,charge carrier,0.09565217391304348
extreme ultraviolet,attosecond,0.2169811320754717
brittleness,indentation,0.09090909090909091
optical coating,deposition,0.12903225806451613
pulse compression,pulse duration,0.13157894736842105
