from,to,weight
carbon nitride,graphitic carbon nitride,0.2631578947368421
carbon nitride,carbon fibers,0.21052631578947367
titanium oxide,titanium dioxide,0.2
auxiliary electrode,electrochromic devices,0.19444444444444445
orthorhombic crystal system,monoclinic crystal system,0.15384615384615385
electrolysis of water,oxygen evolution,0.21428571428571427
electrolysis of water,overpotential,0.1
chemical bath deposition,deposition,0.15384615384615385
chemical bath deposition,nanorod,0.11538461538461539
chemical bath deposition,photocurrent,0.11538461538461539
absorption edge,visible spectrum,0.13636363636363635
absorption edge,monoclinic crystal system,0.09090909090909091
overlayer,photocurrent,0.21052631578947367
non-blocking i/o,electrochromic devices,0.1724137931034483
noble metal,nanomaterials,0.11290322580645161
molybdenum trioxide,orthorhombic crystal system,0.09090909090909091
ultraviolet,visible spectrum,0.15384615384615385
visible spectrum,degradation,0.12393162393162394
bet theory,specific surface area,0.1956521739130435
molybdenum disulfide,tungsten disulfide,0.27906976744186046
charge carrier,visible spectrum,0.09734513274336283
photoelectrochemical cell,photoelectrochemistry,0.16923076923076924
photoelectrochemical cell,photocurrent,0.12307692307692308
anodizing,photocurrent,0.10204081632653061
pulsed laser deposition,deposition,0.2564102564102564
graphitic carbon nitride,visible spectrum,0.125
graphitic carbon nitride,carbon nitride,0.1388888888888889
rhodamine b,degradation,0.15151515151515152
rhodamine b,visible spectrum,0.1590909090909091
methyl orange,photodegradation,0.1
hydrothermal synthesis,nanorod,0.11538461538461539
linear sweep voltammetry,photocurrent,0.14893617021276595
spin coating,electrochromic devices,0.13636363636363635
spin coating,photocurrent,0.09090909090909091
spin coating,monoclinic crystal system,0.09090909090909091
photodegradation,visible spectrum,0.14754098360655737
photodegradation,degradation,0.10382513661202186
indium tin oxide,electrochromic devices,0.23529411764705882
indium tin oxide,tin oxide,0.09411764705882353
chronoamperometry,oxygen evolution,0.1111111111111111
chronoamperometry,electrochromic devices,0.19444444444444445
bismuth vanadate,visible spectrum,0.0967741935483871
bismuth vanadate,bismuth,0.0967741935483871
bismuth vanadate,photocurrent,0.1935483870967742
overpotential,oxygen evolution,0.26373626373626374
cationic polymerization,methylene blue,0.1111111111111111
tungstic acid,tungstate,0.17857142857142858
hexagonal phase,orthorhombic crystal system,0.125
hexagonal phase,monoclinic crystal system,0.125
hexagonal phase,nanorod,0.125
oxygen evolution,overpotential,0.13872832369942195
absorbance,visible spectrum,0.10526315789473684
prussian blue,electrochromic devices,0.22727272727272727
quantum efficiency,visible spectrum,0.12195121951219512
degradation,visible spectrum,0.16524216524216523
triclinic crystal system,monoclinic crystal system,0.16666666666666666
photoelectrochemistry,photoelectrochemical cell,0.11956521739130435
photoelectrochemistry,photocurrent,0.17391304347826086
photoconductivity,charge carrier,0.10344827586206896
photoconductivity,visible spectrum,0.10344827586206896
photoconductivity,photocurrent,0.13793103448275862
passivation,photocurrent,0.1282051282051282
cavity magnetron,stoichiometry,0.09090909090909091
cavity magnetron,monoclinic crystal system,0.09090909090909091
methylene blue,degradation,0.16483516483516483
methylene blue,visible spectrum,0.13186813186813187
modulation (music),electrochromic devices,0.25
tungsten disulfide,molybdenum disulfide,0.13953488372093023
tetragonal crystal system,monoclinic crystal system,0.1111111111111111
tetragonal crystal system,orthorhombic crystal system,0.09722222222222222
oxidizing agent,degradation,0.09090909090909091
oxidizing agent,nanomaterials,0.09090909090909091
oxidizing agent,visible spectrum,0.09090909090909091
specific surface area,bet theory,0.10112359550561797
morphology,hydrothermal synthesis,0.1
morphology,nanorod,0.1
titanium dioxide,visible spectrum,0.10256410256410256
