from,to,weight
phase boundary,tetragonal crystal system,0.2468354430379747
lanthanum,ferroelectric ceramics,0.11904761904761904
relaxor ferroelectric,ferroelectric ceramics,0.16666666666666666
strontium titanate,dielectric loss,0.13636363636363635
high-κ dielectric,dielectric loss,0.28125
monoclinic crystal system,tetragonal crystal system,0.21686746987951808
monoclinic crystal system,orthorhombic crystal system,0.12048192771084337
texture (cosmology),ferroelectric ceramics,0.1111111111111111
texture (cosmology),tetragonal crystal system,0.2
lead titanate,lead zirconate titanate,0.16417910447761194
bismuth,bismuth titanate,0.2
antiferroelectricity,atmospheric temperature range,0.11627906976744186
trigonal crystal system,domain wall (magnetism),0.1111111111111111
trigonal crystal system,tetragonal crystal system,0.16666666666666666
electroceramics,ferroelectric ceramics,0.14285714285714285
electroceramics,dielectric loss,0.14285714285714285
electroceramics,ceramic capacitor,0.10714285714285714
spark plasma sintering,ceramic capacitor,0.12121212121212122
ceramic capacitor,dielectric loss,0.13245033112582782
magnetism,tetragonal crystal system,0.13953488372093023
thermogravimetric analysis,thermal stability,0.11940298507462686
poisson's ratio,poling,0.14285714285714285
hamiltonian (control theory),tetragonal crystal system,0.13513513513513514
superparamagnetism,magnetism,0.125
lattice constant,lattice (music),0.1044776119402985
lattice constant,tetragonal crystal system,0.16417910447761194
bismuth titanate,bismuth,0.31343283582089554
polymer nanocomposite,dielectric loss,0.14285714285714285
zirconate,lead zirconate titanate,0.2641509433962264
potassium niobate,phase boundary,0.11627906976744186
potassium niobate,orthorhombic crystal system,0.11627906976744186
dissipation factor,dielectric loss,0.2803738317757009
magnetoelectric effect,lead zirconate titanate,0.09615384615384616
deposition,pulsed laser deposition,0.15151515151515152
metastability,tetragonal crystal system,0.10344827586206896
dc bias,dielectric loss,0.14285714285714285
dc bias,electrostriction,0.14285714285714285
lattice (music),lattice constant,0.11864406779661017
lattice (music),tetragonal crystal system,0.15254237288135594
domain wall (magnetism),piezoresponse force microscopy,0.13846153846153847
temperature coefficient,thermistor,0.1568627450980392
temperature coefficient,atmospheric temperature range,0.1568627450980392
polystyrene,dielectric loss,0.1
spin coating,tetragonal crystal system,0.14285714285714285
thermistor,temperature coefficient,0.37209302325581395
crystal (programming language),tetragonal crystal system,0.11180124223602485
filler (materials),dielectric loss,0.13513513513513514
barium carbonate,tetragonal crystal system,0.1111111111111111
hydrothermal synthesis,tetragonal crystal system,0.15584415584415584
selected area diffraction,tetragonal crystal system,0.19230769230769232
solid-state reaction route,atmospheric temperature range,0.10526315789473684
solid-state reaction route,dielectric loss,0.10526315789473684
reflection loss,dielectric loss,0.16279069767441862
rietveld refinement,tetragonal crystal system,0.2682926829268293
rietveld refinement,powder diffraction,0.10975609756097561
polyvinylidene fluoride,dielectric loss,0.21052631578947367
tetragonal crystal system,orthorhombic crystal system,0.1216
electrocaloric effect,atmospheric temperature range,0.13043478260869565
ferroelasticity,crystal (programming language),0.14285714285714285
ferroelasticity,domain wall (magnetism),0.14285714285714285
ferroelasticity,piezoresponse force microscopy,0.14285714285714285
orthorhombic crystal system,tetragonal crystal system,0.3076923076923077
lead oxide,tetragonal crystal system,0.11764705882352941
ferromagnetic material properties,pulsed laser deposition,0.21568627450980393
barium ferrite,dielectric loss,0.19047619047619047
barium ferrite,tetragonal crystal system,0.14285714285714285
powder diffraction,tetragonal crystal system,0.2
powder diffraction,rietveld refinement,0.225
powder diffraction,orthorhombic crystal system,0.1
electrostriction,tetragonal crystal system,0.10256410256410256
electrostriction,hysteresis,0.10256410256410256
ferroics,orthorhombic crystal system,0.13636363636363635
ferroics,tetragonal crystal system,0.22727272727272727
dielectric response,dielectric loss,0.14285714285714285
pulsed laser deposition,deposition,0.11363636363636363
