from,to,weight
silsesquioxane,surface modification,0.15384615384615385
silsesquioxane,thermogravimetric analysis,0.15384615384615385
silsesquioxane,silanol,0.15384615384615385
silicone oil,fumed silica,0.15384615384615385
polymer nanocomposite,nanometre,0.2
degradation,particle (ecology),0.16666666666666666
vinyltriethoxysilane,silicone rubber,0.25
halloysite,filler (materials),0.2857142857142857
halloysite,elongation,0.2857142857142857
halloysite,thermal stability,0.2857142857142857
papermaking,filler (materials),0.23076923076923078
specific surface area,particle (ecology),0.21875
sulfenamide,filler (materials),0.16666666666666666
sulfenamide,compression set,0.16666666666666666
titanium dioxide,amorphous silica,0.2
titanium dioxide,particle (ecology),0.2
titanium dioxide,zeta potential,0.2
titanium dioxide,layered double hydroxides,0.2
titanium dioxide,filler (materials),0.2
silanization,filler (materials),0.15384615384615385
compression set,tear resistance,0.15625
calcium silicate,calcium silicate hydrate,0.2
chloroprene,silanes,0.25
chloroprene,filler (materials),0.25
chloroprene,triethoxysilane,0.25
hydrophobic silica,fumed silica,0.16
epdm rubber,ethylene propylene rubber,0.1935483870967742
epdm rubber,thermal stability,0.16129032258064516
shore durometer,filler (materials),0.25
styrene-butadiene,filler (materials),0.15873015873015872
biocompatibility,simulated body fluid,0.2631578947368421
silver nanoparticle,zeta potential,0.2222222222222222
palygorskite,thermogravimetric analysis,0.2
colloidal silica,fumed silica,0.16666666666666666
calcium silicate hydrate,calcium silicate,0.3157894736842105
mooney viscosity,filler (materials),0.25
macropore,dispersity,0.25
organoclay,styrene-butadiene,0.2222222222222222
thermal stability,thermogravimetric analysis,0.1590909090909091
cementitious,silica fume,0.2222222222222222
metakaolin,silica fume,0.23076923076923078
hybrid material,fumed silica,0.16666666666666666
hybrid material,characterization,0.16666666666666666
ethylene propylene rubber,epdm rubber,0.21428571428571427
